driver,spec,month,kind,n_files,n_lines,delta_files,delta_lines,commit
JAVA,crud,2020-04,phase,88,13152,38,5268,14a3e5f5
JAVA,server-selection,2015-03,intro,33,1309,33,1309,13ff30f6
JAVA,server-selection,2016-07,phase,61,2801,28,1492,809b2085
JAVA,bson-corpus,2015-06,intro,5,323,5,323,db3b40f5
JAVA,bson-corpus,2016-07,phase,12,4223,7,3900,809b2085
JAVA,bson-corpus,2016-10,phase,28,4761,16,538,70bf1146
JAVA,connection-string,2015-08,intro,7,1336,7,1336,d9edfab0
JAVA,gridfs,2015-08,intro,4,1618,4,1618,d9edfab0
JAVA,command-monitoring,2015-09,intro,9,1505,9,1505,37f50414
JAVA,initial-dns-seedlist-discovery,2017-11,intro,23,231,23,231,17a80a2f
JAVA,initial-dns-seedlist-discovery,2021-10,phase,54,608,21,242,53b0ff15
JAVA,retryable-writes,2017-11,intro,9,1854,9,1854,17a80a2f
JAVA,retryable-writes,2018-06,phase,18,4115,9,2261,166a5a6c
JAVA,auth,2018-04,intro,1,452,1,452,6d08459f
JAVA,transactions,2018-04,intro,18,7504,18,7504,6d08459f
JAVA,transactions,2018-06,phase,21,14178,3,5740,166a5a6c
JAVA,change-streams,2018-06,intro,2,523,2,523,166a5a6c
JAVA,change-streams,2020-04,phase,4,4242,2,3315,14a3e5f5
JAVA,change-streams,2022-04,phase,5,7323,0,2857,1ffcc02f
JAVA,uri-options,2019-01,intro,8,491,8,491,305d3e5f
JAVA,connection-monitoring-and-pooling,2019-02,intro,19,986,19,986,3b25779e
JAVA,transactions-convenient-api,2019-02,intro,9,3433,9,3433,3b25779e
JAVA,retryable-reads,2019-04,intro,39,17519,39,17519,9c77d176
JAVA,client-side-encryption,2019-06,intro,29,10582,29,10582,2a3fea5d
JAVA,client-side-encryption,2022-05,phase,63,23799,30,12541,9fcdefd4
JAVA,client-side-encryption,2023-01,phase,106,62303,43,38273,d5fb38f9
JAVA,sessions,2019-11,intro,1,835,1,835,8f866e22
JAVA,sessions,2021-07,phase,6,2638,4,1786,7206b710
JAVA,unified-test-format,2020-11,intro,10,4000,10,4000,0eac1f09
JAVA,unified-test-format,2021-02,phase,18,4230,8,230,927e50d5
JAVA,versioned-api,2021-01,intro,6,2640,6,2640,9f90aa8a
JAVA,load-balancers,2021-05,intro,8,3911,8,3911,4e484b0d
JAVA,collection-management,2021-06,intro,1,255,1,255,f253f90b
JAVA,command-logging-and-monitoring,2023-01,intro,10,2773,10,2773,d5fb38f9
JAVA,index-management,2023-07,intro,5,604,5,604,46903fb1
JAVA,client-side-operations-timeout,2024-07,intro,27,40188,27,40188,cc90a512
NODE,command-monitoring,2015-08,intro,18,2232,18,2232,c5b04d23
NODE,connection-string,2015-10,intro,14,2388,14,2388,2876b1b3
NODE,connection-string,2019-08,phase,32,5259,16,2649,b542d348
NODE,crud,2016-11,intro,58,3973,58,3973,3a887097
NODE,crud,2017-10,phase,70,6012,12,2039,903eb00d
NODE,crud,2019-08,phase,82,8911,16,3383,b542d348
NODE,crud,2020-04,phase,178,19058,76,7948,3ae3e919
NODE,max-staleness,2017-04,intro,70,3461,70,3461,a0f2fef6
NODE,server-selection,2017-04,intro,80,2518,80,2518,a0f2fef6
NODE,server-selection,2024-01,phase,150,6811,14,2631,9401d09a
NODE,gridfs,2017-12,intro,2,955,2,955,9c0d883a
NODE,gridfs,2024-07,phase,10,3453,8,2498,54efb7d4
NODE,gridfs,2025-10,phase,16,4229,6,776,517da849
NODE,initial-dns-seedlist-discovery,2017-12,intro,46,392,46,392,9c0d883a
NODE,initial-dns-seedlist-discovery,2019-08,phase,94,813,46,392,b542d348
NODE,initial-dns-seedlist-discovery,2021-11,phase,108,1066,44,460,b9fbac5b
NODE,retryable-writes,2017-12,intro,18,2678,18,2678,9c0d883a
NODE,retryable-writes,2018-06,phase,36,6062,16,2099,955c7ab6
NODE,retryable-writes,2024-07,phase,66,18086,0,6129,54efb7d4
NODE,transactions,2018-04,intro,48,16133,48,16133,d6c34173
NODE,transactions,2019-02,phase,68,40032,26,17261,430fe275
NODE,change-streams,2018-06,intro,4,874,4,874,955c7ab6
NODE,change-streams,2020-04,phase,8,7093,4,5546,3ae3e919
NODE,change-streams,2022-05,phase,18,18209,8,10271,4501a1ce
