month,spec,n_files,n_lines,commit
2017-12,command-monitoring,9,802,881e88ab
2017-12,connection-string,8,1150,881e88ab
2017-12,crud,32,1537,881e88ab
2017-12,gridfs,4,567,881e88ab
2017-12,initial-dns-seedlist-discovery,23,161,881e88ab
2017-12,max-staleness,35,1082,881e88ab
2017-12,read-write-concern,4,211,881e88ab
2017-12,retryable-writes,9,824,881e88ab
2017-12,server-discovery-and-monitoring,69,4588,881e88ab
2017-12,server-selection,40,808,881e88ab
2018-01,command-monitoring,9,802,e4ad2918
2018-01,connection-string,8,1158,e4ad2918
2018-01,crud,32,1537,e4ad2918
2018-01,gridfs,4,586,e4ad2918
2018-01,initial-dns-seedlist-discovery,24,173,e4ad2918
2018-01,max-staleness,35,1082,e4ad2918
2018-01,read-write-concern,4,213,e4ad2918
2018-01,retryable-writes,9,824,e4ad2918
2018-01,server-discovery-and-monitoring,69,4588,e4ad2918
2018-01,server-selection,40,804,e4ad2918
2018-02,command-monitoring,10,809,b73687e9
2018-02,connection-string,8,1158,b73687e9
2018-02,crud,32,1537,b73687e9
2018-02,gridfs,4,586,b73687e9
2018-02,initial-dns-seedlist-discovery,25,186,b73687e9
2018-02,max-staleness,35,1082,b73687e9
2018-02,read-write-concern,4,213,b73687e9
2018-02,retryable-writes,9,824,b73687e9
2018-02,server-discovery-and-monitoring,69,4588,b73687e9
2018-02,server-selection,48,960,b73687e9
2018-03,command-monitoring,10,805,84c3b10b
2018-03,connection-string,8,1158,84c3b10b
2018-03,crud,32,1537,84c3b10b
2018-03,gridfs,4,586,84c3b10b
2018-03,initial-dns-seedlist-discovery,25,186,84c3b10b
2018-03,max-staleness,35,1082,84c3b10b
2018-03,read-write-concern,4,213,84c3b10b
2018-03,retryable-writes,9,824,84c3b10b
2018-03,server-discovery-and-monitoring,69,4588,84c3b10b
2018-03,server-selection,48,960,84c3b10b
2018-03,transactions,19,3447,84c3b10b
2018-04,auth,1,366,bebf9b68
2018-04,command-monitoring,10,808,bebf9b68
2018-04,connection-string,8,1158,bebf9b68
2018-04,crud,32,1537,bebf9b68
2018-04,gridfs,4,601,bebf9b68
2018-04,initial-dns-seedlist-discovery,25,186,bebf9b68
2018-04,max-staleness,35,1083,bebf9b68
2018-04,read-write-concern,4,213,bebf9b68
2018-04,retryable-writes,9,966,bebf9b68
2018-04,server-discovery-and-monitoring,70,4688,bebf9b68
2018-04,server-selection,48,960,bebf9b68
2018-04,transactions,18,4301,bebf9b68
2018-05,auth,1,366,5f25cb24
2018-05,change-streams,2,393,5f25cb24
2018-05,command-monitoring,10,809,5f25cb24
2018-05,connection-string,8,1158,5f25cb24
2018-05,crud,32,1537,5f25cb24
2018-05,gridfs,4,620,5f25cb24
2018-05,initial-dns-seedlist-discovery,25,186,5f25cb24
2018-05,max-staleness,35,1083,5f25cb24
2018-05,read-write-concern,4,213,5f25cb24
2018-05,retryable-writes,10,1308,5f25cb24
2018-05,server-discovery-and-monitoring,70,4688,5f25cb24
2018-05,server-selection,48,960,5f25cb24
2018-05,transactions,18,4929,5f25cb24
2018-06,auth,1,366,d6b90ff3
2018-06,change-streams,2,351,d6b90ff3
2018-06,command-monitoring,10,809,d6b90ff3
2018-06,connection-string,8,1174,d6b90ff3
2018-06,crud,32,1586,d6b90ff3
2018-06,gridfs,4,620,d6b90ff3
2018-06,initial-dns-seedlist-discovery,25,186,d6b90ff3
2018-06,max-staleness,35,1083,d6b90ff3
2018-06,object-id,1,814,d6b90ff3
2018-06,read-write-concern,4,213,d6b90ff3
2018-06,retryable-writes,18,1947,d6b90ff3
2018-06,server-discovery-and-monitoring,70,4688,d6b90ff3
2018-06,server-selection,48,960,d6b90ff3
2018-06,transactions,21,8594,d6b90ff3
2018-07,auth,1,366,55bb56bc
2018-07,change-streams,2,351,55bb56bc
2018-07,command-monitoring,10,809,55bb56bc
2018-07,connection-string,8,1174,55bb56bc
2018-07,crud,33,1623,55bb56bc
2018-07,gridfs,4,620,55bb56bc
2018-07,initial-dns-seedlist-discovery,25,186,55bb56bc
2018-07,max-staleness,35,1083,55bb56bc
2018-07,read-write-concern,4,213,55bb56bc
2018-07,retryable-writes,18,1959,55bb56bc
2018-07,server-discovery-and-monitoring,70,4688,55bb56bc
2018-07,server-selection,48,960,55bb56bc
2018-07,transactions,22,8939,55bb56bc
2018-08,auth,1,366,5f1ccde1
2018-08,change-streams,2,351,5f1ccde1
2018-08,command-monitoring,10,809,5f1ccde1
2018-08,connection-string,8,1174,5f1ccde1
2018-08,crud,33,1624,5f1ccde1
2018-08,gridfs,4,620,5f1ccde1
2018-08,initial-dns-seedlist-discovery,25,186,5f1ccde1
2018-08,max-staleness,35,1083,5f1ccde1
2018-08,read-write-concern,4,213,5f1ccde1
2018-08,retryable-writes,18,1959,5f1ccde1
2018-08,server-discovery-and-monitoring,71,4773,5f1ccde1
2018-08,server-selection,48,960,5f1ccde1
2018-08,transactions,22,8942,5f1ccde1
2018-09,auth,1,366,b020a754
2018-09,change-streams,2,351,b020a754
2018-09,command-monitoring,10,809,b020a754
2018-09,connection-string,8,1174,b020a754
2018-09,crud,35,2059,b020a754
2018-09,gridfs,4,620,b020a754
2018-09,initial-dns-seedlist-discovery,25,186,b020a754
2018-09,max-staleness,35,1083,b020a754
2018-09,read-write-concern,4,245,b020a754
2018-09,retryable-writes,18,1959,b020a754
2018-09,server-discovery-and-monitoring,71,4773,b020a754
2018-09,server-selection,48,960,b020a754
2018-09,transactions,22,8942,b020a754
2018-10,auth,1,366,fc0a2d19
2018-10,change-streams,2,351,fc0a2d19
2018-10,command-monitoring,10,809,fc0a2d19
2018-10,connection-string,8,1174,fc0a2d19
2018-10,crud,35,2192,fc0a2d19
2018-10,gridfs,4,620,fc0a2d19
2018-10,initial-dns-seedlist-discovery,25,186,fc0a2d19
2018-10,max-staleness,35,1083,fc0a2d19
2018-10,read-write-concern,4,245,fc0a2d19
2018-10,retryable-writes,20,2004,fc0a2d19
2018-10,server-discovery-and-monitoring,73,4892,fc0a2d19
2018-10,server-selection,48,960,fc0a2d19
2018-10,transactions,22,9212,fc0a2d19
2018-11,auth,1,366,43039373
2018-11,change-streams,2,351,43039373
2018-11,command-monitoring,10,809,43039373
2018-11,connection-string,8,1174,43039373
2018-11,crud,35,2192,43039373
2018-11,gridfs,4,620,43039373
2018-11,initial-dns-seedlist-discovery,26,201,43039373
2018-11,max-staleness,35,1083,43039373
2018-11,read-write-concern,4,245,43039373
2018-11,retryable-writes,20,2004,43039373
2018-11,server-discovery-and-monitoring,77,5070,43039373
2018-11,server-selection,48,960,43039373
2018-11,transactions,22,9212,43039373
2018-12,auth,1,366,60a56844
2018-12,change-streams,2,351,60a56844
2018-12,command-monitoring,10,809,60a56844
2018-12,connection-string,8,1174,60a56844
2018-12,crud,36,2250,60a56844
2018-12,gridfs,4,620,60a56844
2018-12,initial-dns-seedlist-discovery,26,201,60a56844
2018-12,max-staleness,35,1083,60a56844
2018-12,read-write-concern,4,245,60a56844
2018-12,retryable-writes,20,2004,60a56844
2018-12,server-discovery-and-monitoring,77,5070,60a56844
2018-12,server-selection,48,960,60a56844
2018-12,transactions,23,9626,60a56844
2019-01,auth,1,366,45c92ffa
2019-01,change-streams,2,510,45c92ffa
2019-01,command-monitoring,10,809,45c92ffa
2019-01,connection-monitoring-and-pooling,19,541,45c92ffa
2019-01,connection-string,8,1174,45c92ffa
2019-01,crud,36,2252,45c92ffa
2019-01,gridfs,4,620,45c92ffa
2019-01,initial-dns-seedlist-discovery,26,201,45c92ffa
2019-01,max-staleness,35,1083,45c92ffa
2019-01,read-write-concern,4,245,45c92ffa
2019-01,retryable-reads,42,4995,45c92ffa
2019-01,retryable-writes,20,2004,45c92ffa
2019-01,server-discovery-and-monitoring,77,5070,45c92ffa
2019-01,server-selection,48,960,45c92ffa
2019-01,transactions,23,9734,45c92ffa
2019-01,transactions-convenient-api,9,1838,45c92ffa
2019-01,uri-options,8,398,45c92ffa
2019-02,auth,1,366,d69fdc91
2019-02,change-streams,2,510,d69fdc91
2019-02,command-monitoring,10,802,d69fdc91
2019-02,connection-monitoring-and-pooling,19,549,d69fdc91
2019-02,connection-string,8,1174,d69fdc91
2019-02,crud,38,2414,d69fdc91
2019-02,gridfs,4,620,d69fdc91
2019-02,initial-dns-seedlist-discovery,26,201,d69fdc91
2019-02,max-staleness,35,1083,d69fdc91
2019-02,read-write-concern,4,245,d69fdc91
2019-02,retryable-reads,41,4146,d69fdc91
2019-02,retryable-writes,20,2004,d69fdc91
2019-02,server-discovery-and-monitoring,77,5070,d69fdc91
2019-02,server-selection,48,960,d69fdc91
2019-02,transactions,25,12023,d69fdc91
2019-02,transactions-convenient-api,9,1753,d69fdc91
2019-02,uri-options,8,509,d69fdc91
2019-03,auth,1,366,0ac215f9
2019-03,change-streams,2,586,0ac215f9
2019-03,command-monitoring,10,802,0ac215f9
2019-03,connection-monitoring-and-pooling,19,549,0ac215f9
2019-03,connection-string,8,1174,0ac215f9
2019-03,crud,38,2404,0ac215f9
2019-03,gridfs,4,620,0ac215f9
2019-03,initial-dns-seedlist-discovery,26,201,0ac215f9
2019-03,max-staleness,35,1083,0ac215f9
2019-03,read-write-concern,4,245,0ac215f9
2019-03,retryable-reads,41,4402,0ac215f9
2019-03,retryable-writes,20,1934,0ac215f9
2019-03,server-discovery-and-monitoring,77,5070,0ac215f9
2019-03,server-selection,48,960,0ac215f9
2019-03,transactions,25,12195,0ac215f9
2019-03,transactions-convenient-api,9,1837,0ac215f9
2019-03,uri-options,8,509,0ac215f9
2019-04,auth,1,293,105eb593
2019-04,change-streams,2,586,105eb593
2019-04,command-monitoring,10,802,105eb593
2019-04,connection-monitoring-and-pooling,19,549,105eb593
2019-04,connection-string,8,1174,105eb593
2019-04,crud,38,2404,105eb593
2019-04,gridfs,4,620,105eb593
2019-04,initial-dns-seedlist-discovery,26,201,105eb593
2019-04,max-staleness,35,1083,105eb593
2019-04,read-write-concern,4,245,105eb593
2019-04,retryable-reads,41,4402,105eb593
2019-04,retryable-writes,20,1934,105eb593
2019-04,server-discovery-and-monitoring,77,5074,105eb593
2019-04,server-selection,48,960,105eb593
2019-04,transactions,26,12528,105eb593
2019-04,transactions-convenient-api,9,1837,105eb593
2019-04,uri-options,8,509,105eb593
2019-05,auth,1,293,8c0d8cc3
2019-05,change-streams,2,610,8c0d8cc3
2019-05,command-monitoring,10,802,8c0d8cc3
2019-05,connection-monitoring-and-pooling,19,549,8c0d8cc3
2019-05,connection-string,8,1174,8c0d8cc3
2019-05,crud,39,2494,8c0d8cc3
2019-05,gridfs,4,620,8c0d8cc3
2019-05,initial-dns-seedlist-discovery,26,201,8c0d8cc3
2019-05,max-staleness,35,1083,8c0d8cc3
2019-05,read-write-concern,4,245,8c0d8cc3
2019-05,retryable-reads,41,4402,8c0d8cc3
2019-05,retryable-writes,20,1934,8c0d8cc3
2019-05,server-discovery-and-monitoring,77,5072,8c0d8cc3
2019-05,server-selection,48,960,8c0d8cc3
2019-05,sessions,1,272,8c0d8cc3
2019-05,transactions,26,12793,8c0d8cc3
2019-05,transactions-convenient-api,9,1910,8c0d8cc3
2019-05,uri-options,8,509,8c0d8cc3
2019-06,auth,1,300,63540092
2019-06,change-streams,2,620,63540092
2019-06,client-side-encryption,29,3081,63540092
2019-06,command-monitoring,10,802,63540092
2019-06,connection-monitoring-and-pooling,19,550,63540092
2019-06,connection-string,8,1174,63540092
2019-06,crud,40,2589,63540092
2019-06,gridfs,4,620,63540092
2019-06,initial-dns-seedlist-discovery,26,201,63540092
2019-06,max-staleness,35,1083,63540092
2019-06,read-write-concern,4,245,63540092
2019-06,retryable-reads,42,4441,63540092
2019-06,retryable-writes,20,1934,63540092
2019-06,server-discovery-and-monitoring,77,5072,63540092
2019-06,server-selection,48,960,63540092
2019-06,sessions,1,272,63540092
2019-06,transactions,27,12849,63540092
2019-06,transactions-convenient-api,9,1910,63540092
2019-06,uri-options,8,509,63540092
2019-07,auth,1,301,672a9f2a
2019-07,change-streams,2,610,672a9f2a
2019-07,client-side-encryption,29,3095,672a9f2a
2019-07,command-monitoring,10,802,672a9f2a
2019-07,connection-monitoring-and-pooling,19,574,672a9f2a
2019-07,connection-string,8,1194,672a9f2a
2019-07,crud,40,2589,672a9f2a
2019-07,gridfs,4,620,672a9f2a
2019-07,initial-dns-seedlist-discovery,26,201,672a9f2a
2019-07,max-staleness,35,1083,672a9f2a
2019-07,read-write-concern,4,245,672a9f2a
2019-07,retryable-reads,42,4441,672a9f2a
2019-07,retryable-writes,20,1934,672a9f2a
2019-07,server-discovery-and-monitoring,77,5072,672a9f2a
2019-07,server-selection,48,960,672a9f2a
2019-07,sessions,1,272,672a9f2a
2019-07,transactions,27,12849,672a9f2a
2019-07,transactions-convenient-api,9,1910,672a9f2a
2019-07,uri-options,8,509,672a9f2a
2019-08,auth,1,301,c08e1be3
